bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year
0,Diamond Select,"TV, Movie & Video Games",Princess,New,2002-Now,Battle of the Planets,,293260198432,26.99,1,"Oct 14, 2019",,2002 Diamond Select Battle of the Plantets G Force Princess w/yo-yo galacticycle,Action Figure,2002
3,Hasbro,Transformers & Robots,Optimus Prime,Used,,Transformers,,133195364554,46.0,1,"Oct 14, 2019",,Transformers Studio Series 44 Leader Class Dark of the Moon Optimus Prime NM/M,,
4,IRWIN,"TV, Movie & Video Games",,New,1980-2001,Dragon Ball Z,,233362608481,29.0,1,"Oct 14, 2019",,Set Of 2 Mint Dragon Ball Z Ginyu Saga Burter & Jeice Figures Irwin 2000 MOC,Action Figure,2000
1,Kenner,"TV, Movie & Video Games",,New,1980-2001,Predator,,274040494739,24.99,1,"Oct 14, 2019",,"1993 Ambush Predator Mail Away Action Figure Aliens Sealed, Kenner Rare version",Action Figure,1993
0,Teenage Mutant Ninja Turtles,"TV, Movie & Video Games",,New,,Teenage Mutant Ninja Turtles,,113894220290,14.69,2,"Oct 14, 2019",,Teenage Mutant Ninja Turtles - Micro Mutants - Party Van - TMNT,,
0,Bandai,Anime & Manga,,New,,Digimon,,133192630481,60.0,1,"Oct 14, 2019",,S.H.Figuarts Digimon Adventure OMEGAMON Action Figure NEW,Action Figure,
0,FUNKO,"TV, Movie & Video Games",Hiei,New,,Ghost Files Yu Yu Hakusho,,123891798357,39.95,1,"Oct 14, 2019",3.75in.,Funko Pop Hiei # 547 Ghost Files Yu Yu Hakusho Special Edition Brand New,Action Figure,2019
10,Toys Era,"TV, Movie & Video Games",Psylocke,Used,2002-Now,X-Men,,372797185631,142.5,1,"Oct 14, 2019",12in.,1/6 PSYLOCKE The Prescience X-Men Toys Era TE022 Olivia Munn,Action Figure,
0,Hasbro,"TV, Movie & Video Games",,New,2002-Now,Star Wars,,202085419281,36.0,2,"Oct 14, 2019",6in.,Star Wars Black Series 6” Kylo Ren SIMPLE SCARF 1ST EDITION 03 TFA Figure NIB,Action Figure,
0,NECA,"TV, Movie & Video Games",,Used,,Beetlejuice,,312803179817,49.99,1,"Oct 14, 2019",7in.,Sealed! BEETLEJUICE Action Figure NECA Cult Classics Series 7 FREE SHIPPING! ,Action Figure,
0,Hasbro,"TV, Movie & Video Games",Princess Leia,New,,Star Wars,,174063011253,12.99,1,"Oct 14, 2019",3.75in.,DISNEY HASBRO STAR WARS Galaxy of Adventures Princess Leia Figure & Mini Comic ,Action Figure,2018
0,Hasbro,Military & Adventure,GI Joe Doll,Used,,GI Joe,,143180738214,10.0,1,"Oct 14, 2019","For 12"" Doll","12"" 1/6 GI JOE Action Figure Doll Accessory Belt Pouch Ammo 80-90s",Hat / Cap,
0,McFarlane Toys,"TV, Movie & Video Games",Austin Powers,New,1980-2001,,,113718655893,20.87,1,"Oct 14, 2019",,Austin Powers Scott Evil Action Figure 1999 Mcfarlane Toys 90s Series 2 NIP,Action Figure,1999
0,Hasbro,Military & Adventure,GI Joe Doll,Used,,GI Joe,,143180739815,7.85,1,"Oct 14, 2019","For 12"" Doll","12"" 1/6 GI JOE Action Figure Doll Accessory Belt Pouch Ammo 80-90s",Hat / Cap,
0,Mattel,"TV, Movie & Video Games",Mer-Man,Used,2002-Now,Masters of the Universe,,323407679503,70.0,1,"Oct 14, 2019",,"MOTUC, Mer-Man, complete, figure, Masters of the Universe Classics He-Man, sword",Action Figure,2000's
0,Mattel,"TV, Movie & Video Games",,Used,,Masters Of The Universe,,223500007146,75.0,1,"Oct 14, 2019",,"MOTUC,BATTLEGR",Action Figure,2000's
0,Hasbro,Transformers & Robots,Bumblebee,New,2002-Now,Transformers,,183485127338,41.99,1,"Oct 14, 2019",6in.,"TRANSFORMERS BUMBLEBEE MOVIE TARGET EXCLUSIVE CASSETTE PACK FRENZY, BUZZSAW NEW",Action Figure,2018
0,Mattel,"TV, Movie & Video Games",,New,,Masters Of The Universe,,223502143888,70.0,1,"Oct 14, 2019",,"MOTUC,MOTU,ADO",Action Figure,2000's
0,Mattel,Other Action Figures,Sgt Slaughter,Used,2002-Now,wwe,,153675706682,9.99,1,"Oct 14, 2019",8in.,2010 WWF WWE Mattel Sgt Slaughter Elite Legends Wrestling Figure AWA NWA  ,Action Figure,2010
1,Hasbro,"TV, Movie & Video Games",General Grievous,New,2002-Now,Star Wars,,223702626067,10.0,1,"Oct 14, 2019",3.75in.,Star Wars: Revenge Of The Sith #09 General Grievous Figure in Star Case MOC,Action Figure,
0,Mego,Comic Book Heroes,Thing,Used,Pre-1980,Fantastic Four,,303321350730,30.0,1,"Oct 14, 2019",8in.,"MEGO Thing, All Original 8” Figure, 1974, Used Condition, no Box",Action Figure,1974
0,Bandai,Transformers & Robots,,Used,2002-Now,Machine Robo,,254387620918,16.0,1,"Oct 14, 2019",,Machine Robo Mugenbine UZUMAKIDORI Complete Loose 2005 Gobots TRANSFORMERS,Action Figure,2005
1,Hasbro,"TV, Movie & Video Games",General Grievous,New,2002-Now,Star Wars,,223703968118,13.3,1,"Oct 14, 2019",3.75in.,Star Wars: ROTS #36 General Grievous Figure MOC in Star Case,Action Figure,
0,Hasbro,"TV, Movie & Video Games",Nikto Gunner,New,2002-Now,Star Wars,,183958635489,85.0,1,"Oct 14, 2019",3.75in.,STAR WARS NIKTO GUNNER BD 23 SKIFF GUARD LEGACY COLLECTION R5-C7 DROID ARM 2009,Action Figure,2009
0,Hasbro,Comic Book Heroes,Masque,New,2002-Now,X-Men,,123904318986,29.99,1,"Oct 14, 2019",6in.,"Marvel Legends Marvel's Madames MASQUE 6"" Action Figure Arnim Zola Series",Action Figure,2011
1,,Mixed Lots,"Green Lantern, Batman, Robin, Spiderman, Superman",Used,,,,372803858611,15.0,1,"Oct 14, 2019","1.5"" to 6""",Lot 24 Action Figures Super Heroes and Villains Batman Spiderman Superman Robin,Action Figure,
1,Marvel,Comic Book Heroes,,Used,,,,163895963465,5.7,1,"Oct 14, 2019",,Spiderman Action Figures,Action Figure,
0,NECA,"TV, Movie & Video Games",,New,,Gears of War,,223548929867,30.0,1,"Oct 14, 2019",7in.,"NECA 7"" Gears Of War x3 Action Figure Lot Xbox Game Mezco Mcfarlane toys legends",Action Figure,
1,Hasbro,Comic Book Heroes,Rogue,New,2002-Now,X-Men,,401914380193,70.0,1,"Oct 14, 2019",6in.,marvel legends rogue,Action Figure,2016
1,Mattel,Sports,"Brutus ""The Barber"" Beefcake",New,,WWE,,183986034719,5.2,1,"Oct 14, 2019",,"WWE Mattel Elite Wrestlemania Brutus ""The Barber"" Beefcake **NEW** **UNOPENED** ",Action Figure,2017
0,Takara,Transformers & Robots,Bumblebee,Used,,Transformers,,283637470270,45.0,1,"Oct 14, 2019",,Takara Transformers Masterpiece MP-21 Bumble Bee - 100% Complete MIB & Authentic,Action Figure,
0,Hasbro,Military & Adventure,Grand Slam,Used,,GI Joe,,392472192822,179.99,1,"Oct 14, 2019",3.75in.,GI Joe Grand Slam V2 1983 Silver Pads With JUMP and Uncut Red Back File Card,Action Figure,1983
0,Mattel,"TV, Movie & Video Games",Skeletor,Used,2002-Now,Masters of the Universe,,303318330051,29.99,1,"Oct 14, 2019",7in.,Masters of The Universe Classics The CHIEF CARNIVUS Mattel He-Man MOTUC MOTU,Action Figure,
0,,"TV, Movie & Video Games",,New,,,,293058886816,225.0,1,"Oct 14, 2019",,Thundercats set of 8 hand painted cartoon pop art paintings on canvas He man ,Action Figure,
0,Hasbro,Military & Adventure,Sub Zero,New,,GI Joe,,323947245978,54.99,1,"Oct 14, 2019",3.75in.,GI Joe Collector's Club FSS 6.0 Sub Zero - READ!!!,Action Figure,
0,Just Toys,"TV, Movie & Video Games",,Used,,Battletoads,,123687975629,200.0,1,"Oct 14, 2019",5in.,"1992 Battletoads 5"" Bend-Ems Rash Pimple and Zitz Action Figure Set Just Toys",Action Figure,1992
0,NECA,"TV, Movie & Video Games",Blade,Used,2002-Now,God of War,,113001536383,45.01,1,,9in.,"9"" NECA Game God of War 2 Kratos in Ares Armor W Blades Set Action Figures Toys ",Action Figure,2018
0,NECA,"TV, Movie & Video Games",Blade,Used,,God of War,,113077879323,46.65,1,,7in.,"Kratos in Ares 7"" NECA Game God of War 2 Armor W Blades Set Action Figures Toys ",Action Figure,
1,Hasbro,"TV, Movie & Video Games",Stormtrooper,New,,Star Wars,,383198011472,5.25,1,"Oct 14, 2019",6in.,Hasbro Star Wars: Hero Mashers Episode VI Stormtrooper Action Figure,Action Figure,2015
0,Remco,"TV, Movie & Video Games",,Used,,Universal Monsters,,303320865714,45.0,1,"Oct 14, 2019",3.75in.,Universal Monsters Creature from the Black Lagoon figure vintage REMCO nice 1980,Action Figure,1980
0,Playmates Toys,"TV, Movie & Video Games",Sergeant Bananas,Used,1980-2001,Teenage Mutant Ninja Turtles,,113920932104,19.99,1,"Oct 14, 2019",4.25in.,Sergeant Bananas TMNT Teenage Mutant Ninja Turtles 1991 Playmates Complete Sgt,Action Figure,1991
1,McFarlane Toys,Sports,,New,,,,223704943258,4.7,1,"Oct 14, 2019",,McFARLANE'S Sportpicks ALLEN IVERSON #3 NBA Series #1 Action Figure 76ers,Action Figure,2002
0,NECA,"TV, Movie & Video Games",Bride,New,2004,Kill Bill,,333356623824,30.0,1,"Oct 14, 2019",7in.,"Kill Bill  THE BRIDE Action Figure 2004, Series 1- Uma Thurman NECA",Action Figure,2004
1,McFarlane Toys,Sports,Tim Duncan,New,,,,223704971848,12.0,1,"Oct 14, 2019",6in.,McFARLANE Sportspicks TIM DUNCAN #21 - Series 6 Action Figure SAN ANTONIO SPURS,Action Figure,2004
1,McFarlane Toys,Sports,,New,2002-Now,,,223704955772,4.6,1,"Oct 14, 2019",,2004-05 McFarlane Basketball Series 9 Dirk Nowitzki #240,Action Figure,2004-05
0,Hasbro,"TV, Movie & Video Games",,Used,,,,392425004688,13.99,9,"Oct 14, 2019",3.75in.,STAR WARS the clone wars AHSOKA TANO jedi padawan with Jabba Rotta CW26,Action Figure,
1,McFarlane Toys,Sports,,New,,,,223704958817,7.3,1,"Oct 14, 2019",,McFARLANE'S Sportpicks PEJA STOJAKOVIC 16 NBA Series 6 Action Figure Debut Kings,Action Figure,2004
1,McFarlane Toys,Sports,,New,1980-2001,,,223704999427,7.0,1,"Oct 14, 2019",,Shaquille O'Neal LA Lakers McFarlane's Sports Picks Series 2 Figure,Action Figure,2001
0,Mego,Comic Book Heroes,Captain Action,Used,,Incredible Hulk,,312803069226,30.0,1,"Oct 14, 2019",8in.,"Vtg Mego Incredible Hulk Action Figure Doll 8""",Action Figure,1978
0,Hasbro,"TV, Movie & Video Games",Power Rangers,Used,,Power Rangers,,312792790624,50.0,1,"Oct 14, 2019",6in.,Power Rangers Lighting Collection Loose Lot Of 4 Action Figures Hasbro 2019,Action Figure,2019
7,Action,"TV, Movie & Video Games",Clone Trooper,New,,Star Wars,,174059174834,11.5,1,"Oct 14, 2019",6in.,"Star Wars 6"" Action Figure Clone Trooper Phase Ii Captain Action Figure Gift New",Action Figure,
0,Action,Comic Book Heroes,Captain America,Used,,Captain America,,113210652702,18.39,2,"Oct 14, 2019",,DC Imaginext Superman Batman Joker Loose Action Figure TOY SET of 4 FIGURines,Action Figure,
0,,"TV, Movie & Video Games",,Used,,Teenage Mutant Ninja Turtles,,383202584944,19.99,1,"Oct 14, 2019",,Ninja turtles action figures lot,Action Figure,
0,Hot Toys,"TV, Movie & Video Games",,New,,Iron Man,,293275771631,371.0,1,"Oct 14, 2019",12in.,Hot Toys Iron Man  - Neon Tech Iron Man Mark II 1/6th Scale Action Figure,Action Figure,
0,JAKKS Pacific,Sports,The Rockers (Shawn Michales & Marty Jannetty),Used,2002-Now,WWE,,392459954877,37.99,1,"Oct 14, 2019",7in.,WWE Wrestling Jakks Classic Superstars The Rockers Shawn Michaels Marty Jannetty,Action Figure,
1,Hasbro,Military & Adventure,,Used,,GI Joe,,133195919075,14.99,1,"Oct 14, 2019",3.75in.,GI Joe Scarlett V3 1997 Stars & Stripes Action Figure Parts ~ Great Condition!,Action Figure,1997
0,Unbranded,Transformers & Robots,Robot,Used,1980-2001,Transformers,,283642373475,29.95,1,"Oct 14, 2019",3.5 in,V ROBOT IRON CAR #306 2 IN 1 VTG 1980s TRANSFORMERS KNOCK OFF KO IN ORIGINAL BOX,Action Figure,1980
8,Loco Ape,Music,,Used,2002-Now,Lemmy Kilmister,,293258589716,14.5,1,"Oct 14, 2019",6.5in.,"LEMMY KILMISTER Figure w/ Guitar and Mic Stand, 2012 ICON FIGURE SERIES LOCO APE",Action Figure,2012
0,Hasbro,"TV, Movie & Video Games",Giran,Used,,Star Wars,,153683713516,32.0,1,"Oct 14, 2019",3.75in.,Star Wars The Legacy Collection Rancor Guard Giran,Action Figure,
2,DC Comics,Comic Book Heroes,Darkseid,Used,,Superman,,333352967270,12.5,1,"Oct 14, 2019",6.75in.,DC Universe Classics DC Comics Unlimited New 52 Darkseid DCUC,Action Figure,2013
1,KENNER,Comic Book Heroes,,New,1980-2001,Batgirl,,202794967209,7.99,1,"Oct 14, 2019",12 INCH,VINTAGE BATMAN & ROBIN BATGIRL FULLY POSEABLE ACTION FLAP FRONT MIB 1997,Action Figure,1997
0,Mego,"TV, Movie & Video Games",Screaming Werewolf (Lon Chaney Jr.),New,2002-Now,Face Of The Screaming Werewolf (1964),,323934116751,9.99,1,"Oct 14, 2019",8in.,"Marty Abrams 8"" LE 8434/10000 Target Ex ""Screaming Werewolf"" Mego Classic Figure",Action Figure,2018
