bids,brand,character,era,franchise,price,sell_date,size,title,toy_type,year
3,Mattel / Popy,Great Mazinga,Pre-1980,Shogun Warriors,113.5,"Oct 10, 2019",24in.,"Great Mazinga (Mazinger) Shogun Warrior POPY Mattel  Vintage Japan 24"" No Res!",Action Figure,1977 / 1978
3,Mattel,,,WWE,13.5,"Oct 10, 2019","6""-7""",Finn Balor (Demon) - WWE Elite 70 Mattel Toy Wrestling Action Figure,Action Figure,
0,Mattel,He-Man,1980-2001,Masters of the Universe,15.99,"Oct 10, 2019",,Vintage He-Man - 1983 Screech bird Complete w/ perch & armor - MOTU!!!,Action Figure,1983
0,Hasbro,Emperor Palpatine,,Star Wars,13.99,"Oct 10, 2019",3.75in.,Star Wars Revenge of the Sith Emperor Palpatine changes to Darth Sidious ,Action Figure,2005
0,Tiger Toys,Captain Planet,1980-2001,Captain Planet,35.0,"Oct 10, 2019",,1994 vintage CAPTAIN PLANET Power Ring gold Planeteer Tiger Toys MOC elements !!,Action Figure,1994
0,Kenner Hasbro,,,Star Wars,14.95,"Oct 10, 2019",3.75 inch Figure,Star Wars Power of the Force: DETENTION BLOCK RESCUE (MIB / Sealed),Action Figure set,1996
0,brother production,Death,,,90.0,"Oct 10, 2019",,Death wish Brother Production Vigilante Charles Bronson 1/6 Scale Action Figure,Action Figure,
0,Ideal,Captain Action,1960's,,95.0,"Oct 10, 2019","12""",Vintage 1960's IDEAL Captain Action FOE Dr. Evil Action Figure with Mask Clothes,Action Figure,1960
9,Moose Enterprise,,,,42.0,"Oct 10, 2019",,2004 Fistful Of Power (FOP) Season 1 Battle Action Game w/ 45 Action Figures,Action Figure,2004
29,Unbranded,,2002-Now,Back to the Future,22.5,"Oct 10, 2019",5in.,Back to the Future set of four action figures (Used) Memorabilia ,Action Figure,2016
0,Mattel,,2002-Now,,12.99,"Oct 10, 2019",,HUNTER HEARST HELMSLEY WWE Mattel Elite Network Spotlight Wrestling Figure WWF,Action Figure,
0,Hasbro,The Hulk,,Incredible Hulk,19.99,"Oct 10, 2019",6in.,【SDCC EXCLUSIVE】 HASBRO MARVEL LEGENDS VINTAGE RETRO THE INCREDIBLE [HULK],,
0,Tokidoki,,,,13.56,"Oct 10, 2019",3in.,"Tokidoki UNICORNO SERIES 6 ADIOS AND CARAMELO 3"" Mini Vinyl Figure Toy Blind Box",Action Figure,2017
0,Kenner,,,Star Wars,40.0,"Oct 10, 2019",,Star Wars The Power of the Force Electronic Rebel Snowspeeder Red Box Kenner ,Action Figure,1995
3,,,,,61.0,"Oct 10, 2019",,Batman Total Justice 1996 1997 Quantity 13 Action Figure Lot,Action Figure,1996
4,McFarlane Toys,,,,41.0,"Oct 10, 2019",,Bo Jackson Oakland LA Raiders McFarlane NFL Legends Series 3 Sportspick,Action Figure,
1,McFarlane Toys,,,,25.0,"Oct 10, 2019",,Marcus Allen Oakland LA Raiders McFarlane NFL Legends 6 BLACK JERSEY,Action Figure,
0,Mattel,Moss Man,1980-2001,Masters of the Universe,12.99,"Oct 10, 2019",,"MOTU, Moss Man, Masters of the Universe, vintage He-Man ,with Gray Weapon",Action Figure,1980's
1,Hasbro,Wolverine,,X-Men,15.0,"Oct 10, 2019",,"New, in Package, Hasbro X-Men Origins: Wolverine Logan Action Figure",Action Figure,
1,MLB The Show 19,,,,9.99,"Oct 10, 2019",,"JD Martinez (Boston Red Sox) MLB The Show 19 7"" Figure",,
0,Funko,Boba Fett,2002-Now,Star Wars,30.99,"Oct 10, 2019",6in.,Funko Pop! Star Wars Target Exclusive Boba Fett #297 Graffiti Sealed Hard Case,Action Figure,2019
2,Star Wars,Raider,,,9.99,"Oct 10, 2019",,Vintage Star Wars Lando Calrissian Skiff Guard w/Helmet & Staff Action Figure,Action Figure,
8,Stranger Things: McFarlane Action Figures,,,,15.5,"Oct 10, 2019",,"Mike (Stranger Things) McFarlane 7"" Action Figure",,
1,Bandai,Ransik,,Power Rangers,5.0,"Oct 10, 2019",6in.,"Power Rangers Time Force 6"" Ransik Action Figure Bandai MMPR",Action Figure,2003
0,Playskool,Tiger Claw,2002-Now,Teenage Mutant Ninja Turtles,34.99,"Oct 10, 2019",5 inch,Tiger Claw Figure  : TMNT Teenage Mutant Ninja Turtles ,Action Figure,2014
4,MLB The Show 19,,,,14.5,"Oct 10, 2019",,"Jose Altuve (Houston Astros) MLB The Show 19 7"" Figure",,
0,Mattel,Superman,,DC Universe,16.99,"Oct 10, 2019",6in.,"Bizarro Superman - DC Multiverse, New & Sealed, Walgreens Exclusive",Action Figure,
2,TBLeague,Skeleton,2002-Now,Action Man,21.5,"Oct 10, 2019",6in.,"2019 Super 1/12th Scale Female Seamless Pale Skin Body Metal Skeleton 6"" Figures",Action Figure,2019
2,Playmates Toys,,,Teenage Mutant Ninja Turtles,29.99,"Oct 10, 2019",13in.,1992 Giant TMNT 13 inch Movie Star Mike Teenage Mutant Ninja Turtles Action Fig,Action Figure,1992
2,Star Wars,,,,9.99,"Oct 10, 2019",,Vintage Star Wars Hammerhead w/Blaster Action Figure,Action Figure,
0,Star Wars,Lando Calrissian,2002-Now,Star Wars,4.99,"Oct 10, 2019",6in.,Star Wars Black Series 6 Inch Solo Lando Calrissian #65,Action Figure,2017
0,ToyBiz,ANT-MAN  WASP,,Marvel Universe,8.75,"Oct 10, 2019",5.5in,Fox Kids Marvel Avengers Wasp Action Figures 1999 Toy Biz Loose ,Action Figure,1999
1,Marvel,Thanos,,Fantastic Four,6.75,"Oct 10, 2019",,1995 THANOS Marvel Infinity War Toy Biz Fantastic Four Action Figure Complete B1,Action Figure,1995
0,Hasbro,General Grievous,2002-Now,Star Wars,10.0,"Oct 10, 2019",3.75in.,Hasbro Star Wars: Revenge of the Sith General Grievous Four Lightsaber Attack...,Action Figure,2005
0,Star Wars,General Grievous,2002-Now,,27.99,"Oct 10, 2019",6in.,Star Wars the Black Series General Grievous Deluxe 6-Inch Action Figure,Action Figure,2019
9,Hasbro,Croc Master,,GI Joe,21.5,"Oct 10, 2019",3.75in.,GI Joe ARAH Hasbro 1987 Croc Master Reptile Trainer 100% Complete & Original ,Action Figure,1987
0,Spawn,,,,19.99,"Oct 10, 2019",6in.,The Raider Grey Spawn Series 11 Dark Ages Todd Mcfarlane Action Figure,Action Figure,
0,ToyBiz,HULK,,Incredible Hulk,18.0,"Oct 10, 2019",6in.,2003 TOYBIZ INCREDIBLE HULK - TWIST N SLAM HULK NEW IN PACKAGE ,Action Figure,2003
0,Hasbro,,,Star Wars,35.99,"Oct 10, 2019",,Star Wars Galactic Heroes The Ghost and Ezra Figure - NIB,,
0,Diamond Select,,,Ghostbusters,22.99,"Oct 10, 2019",,"Diamond Select Series 6 Ghostbusters We're Back RAY STANTZ Figure, Box Damage",Action Figure,
1,Star Wars,Ahsoka Tano,,Star Wars,28.0,"Oct 10, 2019",6in.,"STAR WARS EPISODE 7 BLACK SERIES 6"": AHSOKA TANO  #20",Figure,2016
0,Bandai,White Ranger,,Power Rangers,19.99,"Oct 10, 2019",6.5in.,Mighty Morphin Power Rangers White Ranger Legacy Figure,Action Figure,
1,Hasbro,Seaspray,1980-2001,Transformers,4.99,"Oct 10, 2019",,Seaspray 100% Complete Mini 1985 Vintage Hasbro G1 Transformers,Action Figure Loose Complete,1985
0,Good Smile Company,Junkrat,2002-Now,Overwatch,25.99,"Oct 10, 2019",4in.,Overwatch - Junkrat Classic Skin Ver. Nendoroid No. 949 (Good Smile Company),Action Figure,2019
0,Hasbro,Bumblebee,2002-Now,Transformers,33.53,"Oct 10, 2019",,Transformers Bumblebee Movie Power Charge Bumblebee (NEW IN OPEN BOX),Action Figure,2018
0,DC Direct,Red Hood,2002-Now,DC Universe,20.0,"Oct 10, 2019",6in.,"DC DIRECT NEW 52 COMICS RED HOOD 6"" ACTION FIGURE  GREG CAPULLO DESIGNER SERIES",Action Figure,2014
0,Hasbro,Lieutenant,,GI Joe,14.99,"Oct 10, 2019","12""","Lot Of 3 Lieutenant Extreme G.I.JOE, Style 12 ""Action Figures w/ Weapon ",Action Figure,2000's
1,McFarlane Toys,,,The Walking Dead,5.33,"Oct 10, 2019",5in.,Mcfarlane The Walking Dead Bloody Black and White Governor and Penny 2 Pack,Action Figure,
5,Star Wars,,,,17.26,"Oct 10, 2019",,Vintage Star Wars Squid Face w/Blaster & Cape Action Figure,Action Figure,
1,Trendmasters,,,Godzilla,24.99,"Oct 10, 2019",,GODZILLA THE MOVIE BABY X and SPIKE JAW NEW IN BOX,Action Figure,
0,Hasbro Takara Bandai,,1980-2001,Transformers,15.0,"Oct 10, 2019",,Vintage Transformers Takara Hasbro GoBots. (A2) 1980’s,Action Figure,1980
1,Hasbro,,,GI Joe,2.0,"Oct 10, 2019","3.75""",Vintage GI G.I. Joe 1985 QUICK KICK v1 Action Figure Head Body Part - ARAH,Action Figure,1985
11,DC Collectibles,,,,11.1,"Oct 10, 2019",6in.,DC Collectibles Batman The Animated Series NEW ADVENTURES BATMAN   ,Action Figure,
0,Marvel,Mavel Falcon,2002-Now,Marvel Universe,14.44,"Oct 10, 2019",,Marvel Super Hero Masher Mash-Up With Iron Patriot~Marvel,Action Figure,
0,Marvel,,,,40.0,"Oct 10, 2019",,Marvel Guardians of Galaxy Star-Lord Elemental Blaster x2 and Action Figure  TA,,
1,Mattel,Rio Blast,1980-2001,Masters of the Universe,10.0,"Oct 10, 2019",,MOTU Rio Blast Masters of the Universe figure COMPLETE with Guns He Man,Action Figure,1980's
0,Kenner,,,,25.0,"Oct 10, 2019",,vintage star wars action figures lot,Action Figure,
13,NECA,T-800,2002-Now,Terminator,32.0,"Oct 10, 2019",7in.,"Neca Terminator Original T-800 Police Station Assault 7"" Action Figure Reel Toys",Action Figure,
0,Mattel,,,Masters of the Universe,21.0,"Oct 10, 2019",,"MOTU Mantenna Masters Of The Universe Black Lever / Crossbow, Mini-Comic",Action Figure,1984
1,Kenner,Quicksilver,1980-2001,Silverhawks,9.99,"Oct 10, 2019",5in.,Silverhawks -- Quicksilver & Tally-Hawk Kenner 1987 Kenner Used,Action Figure,1987
0,McFarlane Toys,Edward Scissorhands,,,27.5,"Oct 10, 2019",,McFarlane Toys Movie Maniacs 3: Edward Scissorhands Action Figure New In Box,Action Figure,
0,Mattel,,,Batman,9.49,"Oct 10, 2019",6in.,"DC 6"" figure Direct New 52 Justice League Cyborg complete excellent",Action Figure,
0,Hasbro,,2002-Now,Transformers,12.0,"Oct 10, 2019",,"TRANSFORMERS Hunt for the Decepticons HFTD DOTM Movie Legends 4"" RAVAGE Figure",Action Figure,
1,Mattel,She-Ra,1980-2001,Princess of Power,499.99,"Oct 10, 2019",,"Mattel 1985 Series 3 She-Ra Princess of Power Spinnerella w/ accessories, comic",Action Figure,1985
0,JAKKS Pacific,,,,16.95,"Oct 10, 2019",,World of Nintendo Larry Koopa 2.5 Inch Action Figure Jakks Pacific  (READ!),,
0,JAKKS,Mark JINDRAK,2002-Now,,18.5,"Oct 10, 2019",,WWE RUTHLESS AGGRESSION MARK JINDRAK SERIES 15 ACTION FIGURE(086),Action Figure,2005
0,McFarlane Toys,Spawn,,,48.5,"Oct 10, 2019",,BLACK KNIGHT SPAWN BATTLE HORSE The Dark Ages i.23 Classic Comic Cover Series 24,Action Figure,
0,Marvel Legends,Darkhawk,2002-Now,Marvel Universe,19.99,"Oct 10, 2019",6in.,2016 Marvel Legends Guardian Galaxy Astral Darkhawk BAF Titus Avengers Infinity,Action Figure,2016
2,Star Wars,Chief Chirpa,,Ewok,10.5,"Oct 10, 2019",,Vintage Star Wars Ewok Chief Chirpa w/Hood & Staff Action Figure,Action Figure,
0,DC Comics,The Flash,2002-Now,DC Universe,25.0,"Oct 10, 2019",6in.,DC Comics Multiverse Justice League THE FLASH 2-PACK,Action Figure,
0,Hasbro,,,Marvel Universe,19.5,"Oct 10, 2019",6in.,** Avengers Marvel Legends Series Malekith 6 Inches Action Figure,Action Figure,
0,Star Wars,Stormtrooper,,Star Wars,6.95,"Oct 10, 2019",,Vintage Star Wars Stormtrooper Action Figure - 1977 Kenner ,Action Figure,1977
