,index,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year,format
4069,4069,0,Marvel,Comic Book Heroes,marvel legends,New,2002-Now,Marvel Universe,,254386089715,29.99,2,"Oct 11, 2019",6in.,marvel legends avengers endgame bro thor baf wave iron man mark lxxxv in stock,Action Figure,,BIN
4070,4070,7,Unbranded,Comic Book Heroes,Star-Lord,New,,Marvel Universe,,264490317547,12.16,1,"Oct 11, 2019",6in.,6'' s.h.figuarts star-lord figure avengers: infinity war toy new in box ###,Action Figure,2019,Auction
4071,4071,0,Hasbro,"TV, Movie & Video Games",,New,2002-Now,Star Wars,,233173982280,7.5,2,"Oct 11, 2019",4.75in.,star wars mighty muggs maz kanata #15 the force awakens figure,Action Figure,,BIN
4072,4072,0,Unbranded,Comic Book Heroes,Spawn,Used,,,,264404874754,5.98,1,"Oct 11, 2019",,mcfarlane spawn wetworks dozer gold action figure....1995,Action Figure,1995,BIN
4073,4073,0,NECA,"TV, Movie & Video Games",GOLDEN GIRLS,New,,GOLDEN GIRLS,,183810562523,30.99,2,"Oct 11, 2019",8in.,"golden girls - 8"" clothed action figure – blanche - neca",Action Figure,,BIN
4074,4074,0,Hasbro,Comic Book Heroes,Ulik,New,2002-Now,Marvel Universe,,153327823183,9.99,2,"Oct 11, 2019",3.75in.,marvel legends series ulik 3.75 2016 wave 1 hasbro mib nib moc disney unopened,Action Figure,2015,BIN
4075,4075,11,Hasbro,Comic Book Heroes,Cannonball,New,2002-Now,X-Men,,183983048137,8.5,1,"Oct 11, 2019",6in.,hasbro marvel legends cannonball action figure 6 in. x-men wave 2019,Action Figure,2019,Auction
4076,4076,0,Action,Comic Book Heroes,Iron Man,New,,Iron Man,,233352686778,21.99,7,,12in.,"hulkbuster 12"" iron man hulk marvel avengers action figure titan hero series toy",Action Figure,,BIN
4077,4077,0,Hasbro,"TV, Movie & Video Games",Rey,New,,Star Wars,,133193488976,20.99,3,,6in.,star wars black series 6-inch rise of skywalker rey & d-0 new in box - in stock,Action Figure,2019,BIN
4078,4078,0,Unbranded,Comic Book Heroes,Hulk,New,2002-Now,Marvel Universe,,273580761317,22.99,1,,6in.,s.h.figuarts marvel hulk action figure shf movable model toy new with box 6in,Action Figure,2018,BIN
4079,4079,0,Hasbro,"TV, Movie & Video Games",,New,,Star Wars,,352787289693,1.99,47,,2.75in.,up to 20 kinds playskool star wars galactic heroes action figures- your choice,Action Figure,,BIN
4080,4080,0,Star Wars,"TV, Movie & Video Games",Ach Med Beq,Used,2002-Now,Star Wars,,383064307261,7.99,1,"Oct 11, 2019",3.75in.,star wars saga/ post aotc #37 coruscant outlander club ach med beq complete,Action Figure,2003,BIN
4081,4081,0,Hasbro,Military & Adventure,Mainframe,Used,,GI Joe,,223676810979,23.0,1,"Oct 11, 2019",3.75in.,"gi joe 25th anniversary lot: zartan, duke, mainframe (dataframe), breaker",Action Figure,2009,BIN
4082,4082,19,Hot Toys,"TV, Movie & Video Games",Kylo Ren,Used,2002-Now,Star Wars,,163895414229,197.5,1,"Oct 11, 2019",12in.,hot toys mms438 star wars the last jedi kylo ren adam driver 1/6 figure,Action Figure,2018,Auction
4083,4083,0,NECA,"TV, Movie & Video Games",Golden Girls,New,2002-Now,Golden Girls,,264317655671,30.99,23,,8in.,"golden girls - 8"" clothed action figure – dorothy - neca",Action Figure,2019,BIN
4084,4084,0,Sphero,"TV, Movie & Video Games",,New,,,,283635571573,59.95,1,"Oct 11, 2019",,new bnib star wars special edition battle-worn bb-8 by sphero with force band,,,BIN
4085,4085,0,Action,"TV, Movie & Video Games",He-Man,Used,,Masters of the Universe,,254386648719,19.99,1,"Oct 11, 2019",,original he man motu masters of the universe 1981 taiwan vintage action figure ,Action Figure,1981,BIN
