,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year
2827,0,TOMY,Anime & Manga,,New,1980-2001,Pokemon,,152124011901,9.99,10,,"3""",Pokemon Talking Pikachu Figure (Official Pokemon toy by TOMY) *US Seller ,Action Figure,
2828,1,Funko,"TV, Movie & Video Games",,New,2002-Now,Funko Pop,,233362077498,5.49,1,"Oct 11, 2019",Small,Funko - POP Movies: Lord Of The Rings / Hobbit S4 - Dunharrow King New In Box,Action Figure,2017
2829,0,Mattel,Comic Book Heroes,,Used,2006-Now,DC Universe,,323917505189,7.99,1,"Oct 11, 2019",2in.,DC Universe Action League / Brave and the Bold OCEAN MASTER figure,Action Figure,
2830,0,Mattel,Comic Book Heroes,,Used,2006-Now,DC Universe,,323913462209,5.99,1,"Oct 11, 2019",2in.,DC Universe Action League / Brave and the Bold CITIZEN COLD figure Flashpoint,Action Figure,
2831,0,Mattel,Comic Book Heroes,,Used,2006-Now,DC Universe,,223661970019,10.99,1,"Oct 11, 2019",2in.,DC Universe Action League / Brave and the Bold SCARECROW figure,Action Figure,
2832,0,Mattel,Comic Book Heroes,,Used,2006-Now,DC Universe,,223551717680,5.99,1,"Oct 11, 2019",2in.,DC Universe Action League / Brave and the Bold BLACK MANTA figure ,Action Figure,
2833,0,Kenner/Hasbro,"TV, Movie & Video Games",Princess Leia Organa,New,2002-Now,Star Wars,,323889598212,15.99,1,"Oct 11, 2019",6in.,"2016 STAR WARS 40TH ANNIVERSARY 6 INCH FIGURE ""PRINCESS LEIA ORGANA"" - MOC",Action Figure,2016
2834,0,Unbranded,Transformers & Robots,Ultra Magnus,New,,Transformers,,312775712436,24.58,2,,,Transformers Toy MFT MF-48 City Commander 2.0 mini Ultra Magnus IN STOCK,Action Figure,
2835,0,Star Wars,"TV, Movie & Video Games",,New,,,,254325556909,34.95,1,"Oct 11, 2019",,"Hasbro Star Wars | 40th Anniversary 6"" Black Series  - Han Solo | New",,
2836,0,NECA,"TV, Movie & Video Games",Jason Voorhees,New,2002-Now,Friday the 13th,,223540234342,40.0,1,,7in.,"NECA FRIDAY THE 13TH PART 4, THE FINAL CHAPTER, 7"" ULTIMATE JASON FIGURE (NEW)",Action Figure,2017
2837,0,Hasbro,Transformers & Robots,Ratchet,New,,,,123933357768,59.99,1,"Oct 11, 2019",,Hasbro Transformers SIEGE Deluxe Ratchet New WFC-S34 War for Cybertron Autobot,,2019
2838,0,Hasbro,Comic Book Heroes,Storm,New,2002-Now,X-Men,,123936485299,29.99,1,"Oct 11, 2019",6in.,"Marvel Legends STORM 6"" Figure Uncanny X-MEN 80 Years 80th Retro Vintage White",Action Figure,2018
2839,0,Lin,Sports,,Used,,,,264197047167,19.99,1,"Oct 11, 2019",,1984 TITAN WWF WWE FIGURE LOT,Action Figure,
2840,0,Neca,"TV, Movie & Video Games",Spider Gremlin,New,2002-Now,Gremlins 2,,233362481481,49.99,2,"Oct 11, 2019",,"SPIDER GREMLIN Deluxe NECA Gremlins 2 2018 10"" Inch Tall 15"" Across FIGURE",Action Figure,2016
