,bids,brand,category,character,condition,era,franchise,gender,price,quantity_sold,sell_date,size,title,toy_type,year,format
4004,0,Mattel,Sports,Undertaker,New,2002-Now,WWE,,32.5,2,"Oct 10, 2019",7in.,Mattel WWE Elite Ghostbusters Undertaker Action Figure 2019 *Walmart Exclusive*,Action Figure,2019,BIN
4005,0,Unbranded,Comic Book Heroes,Rhino,New,,Spider-Man,,26.99,78,,9in.,"The Amazing Spider-Man 2 Marvel Select Rhino 9"" Action Figure Toy Gift Bulk Pack",Action Figure,,BIN
4006,0,Hasbro,"TV, Movie & Video Games",,Used,,Star Wars,,10.99,19,"Oct 10, 2019",3.75in.,"STAR WARS Black Series CLONE COMMANDER THORN 3.75"" tcw tbs #15",Action Figure,,BIN
4007,0,Hasbro,Transformers & Robots,Bluestreak,New,2002-Now,Transformers,,30.0,1,"Oct 10, 2019",11in.,Transformers Masterpiece BLUESTREAK MP-06 TOYS R US Exclusive Used TRU,Action Figure,2014,BIN
4008,0,ToyBiz,Comic Book Heroes,,New,1980-2001,X-Men,,19.99,1,,10in.,"X-Men Deluxe Edition 10"" Bishop Figure From ToyBiz 1994  NIP  SB-101 ",Action Figure,1994,BIN
4009,0,Playmates Toys,"TV, Movie & Video Games",Michaelangelo,Used,1980-2001,Teenage Mutant Ninja Turtles,,9.95,1,"Oct 10, 2019",5in., TMNT Mike the Sewer Surfer 1990 Teenage Mutant Ninja Turtles Figure,Action Figure,1990,BIN
4010,0,ES GOKIN,Anime & Manga,,New,,,,109.8,2,,,ES Gokin Series 22 Mazinkaiser LED Eyes Figure Mazinger Z ACTION TOYS New,,,BIN
4011,32,DC,Comic Book Heroes,,Used,,,,107.5,1,"Oct 10, 2019",6in.,DC Multiverse KING SHARK CNC Complete w HAMMERHEAD Mint baf collect n connect,Action Figure,,Auction
4012,0,Unbranded/generic,Comic Book Heroes,cyborg,New,2002-Now,cyborg,,7.98,4,,7in.,Cyborg dc comics action figure!! Loose 7”,Action Figure,2003,BIN
4013,0,Hasbro,"TV, Movie & Video Games",cantina aliens,Used,,Star Wars,,24.27,1,"Oct 10, 2019","3.75""",Star Wars Action Figures Lot - Aliens - Jabba's Palace - Cantina - Hasbro loose,Action Figure,Various,BIN
4014,0,Mattel,Other Action Figures,,New,2002-Now,WWE,,9.95,2,,6in.,TYLER BREEZE WWE Elite Collection Series #61 Action Figure FASHION POLICE Mattel,Action Figure,2018,BIN
4015,15,Kenner,"TV, Movie & Video Games",Jawa,Used,,Star Wars,,88.0,1,"Oct 10, 2019",3.75in.,Star Wars Land of Jabba's Skiff thugs bounty  weapons Speeder 9 + Jabba lot!,Action Figure,1983,Auction
4016,0,Mattel,"TV, Movie & Video Games",He-Man,Used,,Masters of the Universe,,19.99,1,"Oct 10, 2019",,Dinosorb Meteorbs MOTU He-Man Masters of the Universe  Action Figure 1985 B460,Action Figure,1985,BIN
